Question_ID,Job_Role,Skill,Difficulty,Question_Type,Question,Expected_Key_Points,Sample_Answer
Q0001,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0002,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0003,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0004,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0005,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0006,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0007,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0008,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0009,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0010,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0011,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0012,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0013,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0014,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0015,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0016,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0017,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0018,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0019,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0020,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0021,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0022,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0023,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0024,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0025,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0026,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0027,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0028,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
