Path_ID,Current_Role,Next_Role,Required_Skills,Recommended_Courses,Estimated_Time,Difficulty,Average_Salary,Industry
PATH0001,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0002,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0003,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0004,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0005,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0006,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0007,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0008,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0009,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0010,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0011,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0012,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0013,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0014,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0015,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0016,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0017,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0018,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0019,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0020,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0021,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0022,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0023,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0024,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0025,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0026,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0027,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0028,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0029,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0030,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0031,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0032,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0033,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0034,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0035,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0036,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0037,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0038,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0039,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0040,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0041,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0042,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0043,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0044,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0045,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0046,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0047,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0048,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0049,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0050,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0051,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0052,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0053,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0054,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0055,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0056,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0057,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0058,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0059,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0060,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0061,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0062,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0063,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
