Certification_ID,Certification_Name,Provider,Primary_Skill,Difficulty,Target_Role,Estimated_Duration,Certificate_Valid,Official_URL
CERT0001,Google Data Analytics Professional Certificate,Google,Data Analytics,Beginner,Data Analyst,6 Months,Yes,https://certifications.example.com/google/1
CERT0002,IBM Data Science Professional Certificate,IBM,Data Science,Beginner,Data Scientist,5 Months,Yes,https://certifications.example.com/ibm/2
CERT0003,Microsoft Azure AI Engineer Associate,Microsoft,Azure AI,Advanced,AI Engineer,3 Months,Yes,https://certifications.example.com/microsoft/3
CERT0004,AWS Certified Machine Learning Engineer,AWS,Machine Learning,Advanced,ML Engineer,4 Months,Yes,https://certifications.example.com/aws/4
CERT0005,TensorFlow Developer Certificate,Google,Deep Learning,Intermediate,AI Engineer,2 Months,Yes,https://certifications.example.com/google/5
CERT0006,Databricks Data Engineer Associate,Databricks,Data Engineering,Intermediate,Data Engineer,3 Months,Yes,https://certifications.example.com/databricks/6
CERT0007,Tableau Desktop Specialist,Tableau,Tableau,Beginner,BI Developer,1 Month,Yes,https://certifications.example.com/tableau/7
CERT0008,Microsoft Power BI Data Analyst,Microsoft,Power BI,Intermediate,BI Developer,2 Months,Yes,https://certifications.example.com/microsoft/8
CERT0009,Oracle Database SQL Associate,Oracle,SQL,Beginner,Data Analyst,2 Months,Yes,https://certifications.example.com/oracle/9
CERT0010,Docker Certified Associate,Docker,Docker,Intermediate,DevOps Engineer,2 Months,Yes,https://certifications.example.com/docker/10
CERT0011,Google Data Analytics Professional Certificate,Google,Data Analytics,Beginner,Data Analyst,6 Months,Yes,https://certifications.example.com/google/11
CERT0012,IBM Data Science Professional Certificate,IBM,Data Science,Beginner,Data Scientist,5 Months,Yes,https://certifications.example.com/ibm/12
CERT0013,Microsoft Azure AI Engineer Associate,Microsoft,Azure AI,Advanced,AI Engineer,3 Months,Yes,https://certifications.example.com/microsoft/13
CERT0014,AWS Certified Machine Learning Engineer,AWS,Machine Learning,Advanced,ML Engineer,4 Months,Yes,https://certifications.example.com/aws/14
CERT0015,TensorFlow Developer Certificate,Google,Deep Learning,Intermediate,AI Engineer,2 Months,Yes,https://certifications.example.com/google/15
CERT0016,Databricks Data Engineer Associate,Databricks,Data Engineering,Intermediate,Data Engineer,3 Months,Yes,https://certifications.example.com/databricks/16
CERT0017,Tableau Desktop Specialist,Tableau,Tableau,Beginner,BI Developer,1 Month,Yes,https://certifications.example.com/tableau/17
CERT0018,Microsoft Power BI Data Analyst,Microsoft,Power BI,Intermediate,BI Developer,2 Months,Yes,https://certifications.example.com/microsoft/18
CERT0019,Oracle Database SQL Associate,Oracle,SQL,Beginner,Data Analyst,2 Months,Yes,https://certifications.example.com/oracle/19
CERT0020,Docker Certified Associate,Docker,Docker,Intermediate,DevOps Engineer,2 Months,Yes,https://certifications.example.com/docker/20
CERT0021,Google Data Analytics Professional Certificate,Google,Data Analytics,Beginner,Data Analyst,6 Months,Yes,https://certifications.example.com/google/21
CERT0022,IBM Data Science Professional Certificate,IBM,Data Science,Beginner,Data Scientist,5 Months,Yes,https://certifications.example.com/ibm/22
