Job_ID,Job_Title,Company,Experience,Location,Salary,Required_Skills,Preferred_Skills,Education,Employment_Type,Job_Description
JOB0001,Data Scientist,TCS,Fresher,Bengaluru,3-5 LPA,Python;Pandas;NumPy;Machine Learning;SQL;Scikit-learn,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"TCS is hiring a Data Scientist with strong knowledge of Python, Pandas, NumPy, Machine Learning, SQL, Scikit-learn."
JOB0002,Data Analyst,Infosys,0-2 Years,Hyderabad,5-8 LPA,SQL;Excel;Power BI;Python;Statistics,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Infosys is hiring a Data Analyst with strong knowledge of SQL, Excel, Power BI, Python, Statistics."
JOB0003,ML Engineer,Wipro,2-4 Years,Chennai,8-12 LPA,Python;TensorFlow;PyTorch;ML;Docker,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Wipro is hiring a ML Engineer with strong knowledge of Python, TensorFlow, PyTorch, ML, Docker."
JOB0004,AI Engineer,Accenture,4-6 Years,Pune,12-18 LPA,Python;LLMs;NLP;TensorFlow;PyTorch,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Accenture is hiring a AI Engineer with strong knowledge of Python, LLMs, NLP, TensorFlow, PyTorch."
JOB0005,Business Analyst,IBM,6+ Years,Mumbai,18-30 LPA,Excel;SQL;Power BI;Communication,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"IBM is hiring a Business Analyst with strong knowledge of Excel, SQL, Power BI, Communication."
JOB0006,Data Engineer,Capgemini,Fresher,Delhi,3-5 LPA,Python;SQL;Spark;ETL;Airflow,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Capgemini is hiring a Data Engineer with strong knowledge of Python, SQL, Spark, ETL, Airflow."
JOB0007,BI Developer,Cognizant,0-2 Years,Noida,5-8 LPA,Power BI;SQL;DAX;Excel,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Cognizant is hiring a BI Developer with strong knowledge of Power BI, SQL, DAX, Excel."
JOB0008,Research Scientist,Deloitte,2-4 Years,Kolkata,8-12 LPA,Python;Deep Learning;Research;PyTorch,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Deloitte is hiring a Research Scientist with strong knowledge of Python, Deep Learning, Research, PyTorch."
JOB0009,Computer Vision Engineer,Google,4-6 Years,Remote,12-18 LPA,OpenCV;PyTorch;CNN;Python,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Google is hiring a Computer Vision Engineer with strong knowledge of OpenCV, PyTorch, CNN, Python."
JOB0010,NLP Engineer,Microsoft,6+ Years,Bengaluru,18-30 LPA,Python;spaCy;Transformers;NLP,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Microsoft is hiring a NLP Engineer with strong knowledge of Python, spaCy, Transformers, NLP."
JOB0011,Python Developer,Amazon,Fresher,Hyderabad,3-5 LPA,Python;Flask;FastAPI;SQL,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Amazon is hiring a Python Developer with strong knowledge of Python, Flask, FastAPI, SQL."
JOB0012,Backend Developer,Flipkart,0-2 Years,Chennai,5-8 LPA,Python;FastAPI;Docker;PostgreSQL,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Flipkart is hiring a Backend Developer with strong knowledge of Python, FastAPI, Docker, PostgreSQL."
JOB0013,Full Stack Developer,Oracle,2-4 Years,Pune,8-12 LPA,React;Node.js;Python;SQL,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Oracle is hiring a Full Stack Developer with strong knowledge of React, Node.js, Python, SQL."
JOB0014,Frontend Developer,Zoho,4-6 Years,Mumbai,12-18 LPA,React;JavaScript;HTML;CSS,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Zoho is hiring a Frontend Developer with strong knowledge of React, JavaScript, HTML, CSS."
JOB0015,Java Developer,HCLTech,6+ Years,Delhi,18-30 LPA,Java;Spring Boot;SQL,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"HCLTech is hiring a Java Developer with strong knowledge of Java, Spring Boot, SQL."
JOB0016,Cloud Engineer,TCS,Fresher,Noida,3-5 LPA,AWS;Docker;Linux;Terraform,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"TCS is hiring a Cloud Engineer with strong knowledge of AWS, Docker, Linux, Terraform."
JOB0017,DevOps Engineer,Infosys,0-2 Years,Kolkata,5-8 LPA,Docker;Kubernetes;CI/CD;Linux,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Infosys is hiring a DevOps Engineer with strong knowledge of Docker, Kubernetes, CI/CD, Linux."
JOB0018,MLOps Engineer,Wipro,2-4 Years,Remote,8-12 LPA,MLflow;Docker;Kubernetes;Python,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Wipro is hiring a MLOps Engineer with strong knowledge of MLflow, Docker, Kubernetes, Python."
JOB0019,AWS Engineer,Accenture,4-6 Years,Bengaluru,12-18 LPA,AWS;EC2;S3;IAM,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Accenture is hiring a AWS Engineer with strong knowledge of AWS, EC2, S3, IAM."
JOB0020,Azure Engineer,IBM,6+ Years,Hyderabad,18-30 LPA,Azure;DevOps;Python,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"IBM is hiring a Azure Engineer with strong knowledge of Azure, DevOps, Python."
JOB0021,Data Scientist,Capgemini,Fresher,Chennai,3-5 LPA,Python;Pandas;NumPy;Machine Learning;SQL;Scikit-learn,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Capgemini is hiring a Data Scientist with strong knowledge of Python, Pandas, NumPy, Machine Learning, SQL, Scikit-learn."
JOB0022,Data Analyst,Cognizant,0-2 Years,Pune,5-8 LPA,SQL;Excel;Power BI;Python;Statistics,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Cognizant is hiring a Data Analyst with strong knowledge of SQL, Excel, Power BI, Python, Statistics."
JOB0023,ML Engineer,Deloitte,2-4 Years,Mumbai,8-12 LPA,Python;TensorFlow;PyTorch;ML;Docker,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Deloitte is hiring a ML Engineer with strong knowledge of Python, TensorFlow, PyTorch, ML, Docker."
JOB0024,AI Engineer,Google,4-6 Years,Delhi,12-18 LPA,Python;LLMs;NLP;TensorFlow;PyTorch,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Google is hiring a AI Engineer with strong knowledge of Python, LLMs, NLP, TensorFlow, PyTorch."
JOB0025,Business Analyst,Microsoft,6+ Years,Noida,18-30 LPA,Excel;SQL;Power BI;Communication,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Microsoft is hiring a Business Analyst with strong knowledge of Excel, SQL, Power BI, Communication."
JOB0026,Data Engineer,Amazon,Fresher,Kolkata,3-5 LPA,Python;SQL;Spark;ETL;Airflow,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Hybrid,"Amazon is hiring a Data Engineer with strong knowledge of Python, SQL, Spark, ETL, Airflow."
JOB0027,BI Developer,Flipkart,0-2 Years,Remote,5-8 LPA,Power BI;SQL;DAX;Excel,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Remote,"Flipkart is hiring a BI Developer with strong knowledge of Power BI, SQL, DAX, Excel."
JOB0028,Research Scientist,Oracle,2-4 Years,Bengaluru,8-12 LPA,Python;Deep Learning;Research;PyTorch,Communication;Problem Solving;Git;Teamwork,B.E/B.Tech/M.Tech/MCA,Full Time,"Oracle is hiring a Research Scientist with strong knowledge of Python, Deep Learning, Research, PyTorch."
