Salary_ID,Job_Role,Location,Company_Type,Experience,Minimum_Salary_LPA,Maximum_Salary_LPA,Average_Salary_LPA,Required_Skills,Education,Employment_Type
SAL0001,Data Analyst,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0002,Data Analyst,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0003,Data Analyst,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0004,Data Analyst,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0005,Data Analyst,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0006,Data Scientist,Delhi,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0007,Data Scientist,Noida,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0008,Data Scientist,Remote,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0009,Data Scientist,Bengaluru,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0010,Data Scientist,Hyderabad,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0011,Machine Learning Engineer,Chennai,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0012,Machine Learning Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0013,Machine Learning Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
