Skill_ID,Skill_Name,Category,Difficulty_Level,Demand_Level,Technology_Type,Industry,Importance_Score
SK0001,Python,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",61
SK0002,Python,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",62
SK0003,Python,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",63
SK0004,Python,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",64
SK0005,Python,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",65
SK0006,Python,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",66
SK0007,Java,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",67
SK0008,Java,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",68
SK0009,Java,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",69
SK0010,Java,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",70
SK0011,Java,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",71
SK0012,Java,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",72
SK0013,C,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",73
SK0014,C,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",74
SK0015,C,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",75
SK0016,C,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",76
SK0017,C,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",77
SK0018,C,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",78
SK0019,C++,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",79
SK0020,C++,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",80
SK0021,C++,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",81
SK0022,C++,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",82
SK0023,C++,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",83
SK0024,C++,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",84
SK0025,C#,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",85
SK0026,C#,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",86
SK0027,C#,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",87
SK0028,C#,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",88
SK0029,C#,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",89
SK0030,C#,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",90
SK0031,R,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",91
SK0032,R,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",92
SK0033,R,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",93
SK0034,R,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",94
SK0035,R,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",95
SK0036,R,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",96
SK0037,JavaScript,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",97
SK0038,JavaScript,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",98
SK0039,JavaScript,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",99
SK0040,JavaScript,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",100
SK0041,JavaScript,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",60
SK0042,JavaScript,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",61
SK0043,TypeScript,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",62
SK0044,TypeScript,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",63
SK0045,TypeScript,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",64
SK0046,TypeScript,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",65
SK0047,TypeScript,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",66
SK0048,TypeScript,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",67
SK0049,Go,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",68
SK0050,Go,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",69
SK0051,Go,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",70
SK0052,Go,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",71
SK0053,Go,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",72
SK0054,Go,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",73
SK0055,PHP,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",74
SK0056,PHP,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",75
SK0057,PHP,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",76
SK0058,PHP,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",77
