Course_ID,Course_Name,Platform,Skill,Difficulty,Duration,Certificate,Career_Path,Course_URL
CRS0001,Python Masterclass 1,Coursera,Python,Beginner,6 Weeks,Yes,Data Analyst,https://learn.example.com/python-1
CRS0002,Python Masterclass 2,Udemy,Python,Beginner,8 Weeks,Yes,Data Analyst,https://learn.example.com/python-2
CRS0003,Python Masterclass 3,DataCamp,Python,Beginner,12 Weeks,Yes,Data Analyst,https://learn.example.com/python-3
CRS0004,Python Masterclass 4,edX,Python,Beginner,4 Weeks,Yes,Data Analyst,https://learn.example.com/python-4
CRS0005,Python Masterclass 1,Google,Python,Intermediate,6 Weeks,Yes,Data Analyst,https://learn.example.com/python-1
CRS0006,Python Masterclass 2,IBM SkillsBuild,Python,Intermediate,8 Weeks,Yes,Data Analyst,https://learn.example.com/python-2
CRS0007,Python Masterclass 3,Microsoft Learn,Python,Intermediate,12 Weeks,Yes,Data Analyst,https://learn.example.com/python-3
CRS0008,Python Masterclass 4,AWS Skill Builder,Python,Intermediate,4 Weeks,Yes,Data Analyst,https://learn.example.com/python-4
CRS0009,Python Masterclass 1,LinkedIn Learning,Python,Advanced,6 Weeks,Yes,Data Analyst,https://learn.example.com/python-1
CRS0010,Python Masterclass 2,Kaggle Learn,Python,Advanced,8 Weeks,Yes,Data Analyst,https://learn.example.com/python-2
CRS0011,Python Masterclass 3,Coursera,Python,Advanced,12 Weeks,Yes,Data Analyst,https://learn.example.com/python-3
CRS0012,Python Masterclass 4,Udemy,Python,Advanced,4 Weeks,Yes,Data Analyst,https://learn.example.com/python-4
CRS0013,SQL Masterclass 1,DataCamp,SQL,Beginner,6 Weeks,Yes,Data Analyst,https://learn.example.com/sql-1
CRS0014,SQL Masterclass 2,edX,SQL,Beginner,8 Weeks,Yes,Data Analyst,https://learn.example.com/sql-2
CRS0015,SQL Masterclass 3,Google,SQL,Beginner,12 Weeks,Yes,Data Analyst,https://learn.example.com/sql-3
CRS0016,SQL Masterclass 4,IBM SkillsBuild,SQL,Beginner,4 Weeks,Yes,Data Analyst,https://learn.example.com/sql-4
CRS0017,SQL Masterclass 1,Microsoft Learn,SQL,Intermediate,6 Weeks,Yes,Data Analyst,https://learn.example.com/sql-1
CRS0018,SQL Masterclass 2,AWS Skill Builder,SQL,Intermediate,8 Weeks,Yes,Data Analyst,https://learn.example.com/sql-2
CRS0019,SQL Masterclass 3,LinkedIn Learning,SQL,Intermediate,12 Weeks,Yes,Data Analyst,https://learn.example.com/sql-3
CRS0020,SQL Masterclass 4,Kaggle Learn,SQL,Intermediate,4 Weeks,Yes,Data Analyst,https://learn.example.com/sql-4
CRS0021,SQL Masterclass 1,Coursera,SQL,Advanced,6 Weeks,Yes,Data Analyst,https://learn.example.com/sql-1
CRS0022,SQL Masterclass 2,Udemy,SQL,Advanced,8 Weeks,Yes,Data Analyst,https://learn.example.com/sql-2
CRS0023,SQL Masterclass 3,DataCamp,SQL,Advanced,12 Weeks,Yes,Data Analyst,https://learn.example.com/sql-3
CRS0024,SQL Masterclass 4,edX,SQL,Advanced,4 Weeks,Yes,Data Analyst,https://learn.example.com/sql-4
CRS0025,Power BI Masterclass 1,Google,Power BI,Beginner,6 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-1
CRS0026,Power BI Masterclass 2,IBM SkillsBuild,Power BI,Beginner,8 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-2
CRS0027,Power BI Masterclass 3,Microsoft Learn,Power BI,Beginner,12 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-3
CRS0028,Power BI Masterclass 4,AWS Skill Builder,Power BI,Beginner,4 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-4
CRS0029,Power BI Masterclass 1,LinkedIn Learning,Power BI,Intermediate,6 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-1
CRS0030,Power BI Masterclass 2,Kaggle Learn,Power BI,Intermediate,8 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-2
CRS0031,Power BI Masterclass 3,Coursera,Power BI,Intermediate,12 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-3
CRS0032,Power BI Masterclass 4,Udemy,Power BI,Intermediate,4 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-4
CRS0033,Power BI Masterclass 1,DataCamp,Power BI,Advanced,6 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-1
CRS0034,Power BI Masterclass 2,edX,Power BI,Advanced,8 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-2
CRS0035,Power BI Masterclass 3,Google,Power BI,Advanced,12 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-3
CRS0036,Power BI Masterclass 4,IBM SkillsBuild,Power BI,Advanced,4 Weeks,Yes,BI Developer,https://learn.example.com/power-bi-4
CRS0037,Tableau Masterclass 1,Microsoft Learn,Tableau,Beginner,6 Weeks,Yes,BI Developer,https://learn.example.com/tableau-1
CRS0038,Tableau Masterclass 2,AWS Skill Builder,Tableau,Beginner,8 Weeks,Yes,BI Developer,https://learn.example.com/tableau-2
CRS0039,Tableau Masterclass 3,LinkedIn Learning,Tableau,Beginner,12 Weeks,Yes,BI Developer,https://learn.example.com/tableau-3
CRS0040,Tableau Masterclass 4,Kaggle Learn,Tableau,Beginner,4 Weeks,Yes,BI Developer,https://learn.example.com/tableau-4
