Keyword_ID,Keyword,Category,Importance,Weight,Mandatory,Synonym,Industry
ATS0001,Python,Programming,Mandatory,10,Yes,"Py, Python3","IT, AI & Data Science"
ATS0002,Python,Programming,Important,8,No,"Py, Python3","IT, AI & Data Science"
ATS0003,Python,Programming,Preferred,6,No,"Py, Python3","IT, AI & Data Science"
ATS0004,Python,Programming,Optional,4,No,"Py, Python3","IT, AI & Data Science"
ATS0005,Java,Programming,Mandatory,10,Yes,"Core Java, Java SE","IT, AI & Data Science"
ATS0006,Java,Programming,Important,8,No,"Core Java, Java SE","IT, AI & Data Science"
ATS0007,Java,Programming,Preferred,6,No,"Core Java, Java SE","IT, AI & Data Science"
ATS0008,Java,Programming,Optional,4,No,"Core Java, Java SE","IT, AI & Data Science"
ATS0009,C++,Programming,Mandatory,10,Yes,CPP,"IT, AI & Data Science"
ATS0010,C++,Programming,Important,8,No,CPP,"IT, AI & Data Science"
ATS0011,C++,Programming,Preferred,6,No,CPP,"IT, AI & Data Science"
ATS0012,C++,Programming,Optional,4,No,CPP,"IT, AI & Data Science"
ATS0013,JavaScript,Programming,Mandatory,10,Yes,"JS, ECMAScript","IT, AI & Data Science"
ATS0014,JavaScript,Programming,Important,8,No,"JS, ECMAScript","IT, AI & Data Science"
ATS0015,JavaScript,Programming,Preferred,6,No,"JS, ECMAScript","IT, AI & Data Science"
ATS0016,JavaScript,Programming,Optional,4,No,"JS, ECMAScript","IT, AI & Data Science"
ATS0017,SQL,Programming,Mandatory,10,Yes,Structured Query Language,"IT, AI & Data Science"
ATS0018,SQL,Programming,Important,8,No,Structured Query Language,"IT, AI & Data Science"
ATS0019,SQL,Programming,Preferred,6,No,Structured Query Language,"IT, AI & Data Science"
ATS0020,SQL,Programming,Optional,4,No,Structured Query Language,"IT, AI & Data Science"
ATS0021,R,Programming,Mandatory,10,Yes,R Language,"IT, AI & Data Science"
ATS0022,R,Programming,Important,8,No,R Language,"IT, AI & Data Science"
ATS0023,R,Programming,Preferred,6,No,R Language,"IT, AI & Data Science"
ATS0024,R,Programming,Optional,4,No,R Language,"IT, AI & Data Science"
ATS0025,Go,Programming,Mandatory,10,Yes,Golang,"IT, AI & Data Science"
ATS0026,Go,Programming,Important,8,No,Golang,"IT, AI & Data Science"
ATS0027,Go,Programming,Preferred,6,No,Golang,"IT, AI & Data Science"
ATS0028,Go,Programming,Optional,4,No,Golang,"IT, AI & Data Science"
ATS0029,PHP,Programming,Mandatory,10,Yes,Hypertext Preprocessor,"IT, AI & Data Science"
ATS0030,PHP,Programming,Important,8,No,Hypertext Preprocessor,"IT, AI & Data Science"
ATS0031,PHP,Programming,Preferred,6,No,Hypertext Preprocessor,"IT, AI & Data Science"
ATS0032,PHP,Programming,Optional,4,No,Hypertext Preprocessor,"IT, AI & Data Science"
ATS0033,TypeScript,Programming,Mandatory,10,Yes,TS,"IT, AI & Data Science"
ATS0034,TypeScript,Programming,Important,8,No,TS,"IT, AI & Data Science"
ATS0035,TypeScript,Programming,Preferred,6,No,TS,"IT, AI & Data Science"
ATS0036,TypeScript,Programming,Optional,4,No,TS,"IT, AI & Data Science"
ATS0037,C#,Programming,Mandatory,10,Yes,C Sharp,"IT, AI & Data Science"
ATS0038,C#,Programming,Important,8,No,C Sharp,"IT, AI & Data Science"
ATS0039,C#,Programming,Preferred,6,No,C Sharp,"IT, AI & Data Science"
ATS0040,C#,Programming,Optional,4,No,C Sharp,"IT, AI & Data Science"
ATS0041,Machine Learning,Data Science,Mandatory,10,Yes,ML,"IT, AI & Data Science"
ATS0042,Machine Learning,Data Science,Important,8,No,ML,"IT, AI & Data Science"
ATS0043,Machine Learning,Data Science,Preferred,6,No,ML,"IT, AI & Data Science"
ATS0044,Machine Learning,Data Science,Optional,4,No,ML,"IT, AI & Data Science"
ATS0045,Deep Learning,Data Science,Mandatory,10,Yes,DL,"IT, AI & Data Science"
ATS0046,Deep Learning,Data Science,Important,8,No,DL,"IT, AI & Data Science"
ATS0047,Deep Learning,Data Science,Preferred,6,No,DL,"IT, AI & Data Science"
ATS0048,Deep Learning,Data Science,Optional,4,No,DL,"IT, AI & Data Science"
ATS0049,Data Analysis,Data Science,Mandatory,10,Yes,Analytics,"IT, AI & Data Science"
ATS0050,Data Analysis,Data Science,Important,8,No,Analytics,"IT, AI & Data Science"
ATS0051,Data Analysis,Data Science,Preferred,6,No,Analytics,"IT, AI & Data Science"
ATS0052,Data Analysis,Data Science,Optional,4,No,Analytics,"IT, AI & Data Science"
ATS0053,EDA,Data Science,Mandatory,10,Yes,Exploratory Data Analysis,"IT, AI & Data Science"
ATS0054,EDA,Data Science,Important,8,No,Exploratory Data Analysis,"IT, AI & Data Science"
ATS0055,EDA,Data Science,Preferred,6,No,Exploratory Data Analysis,"IT, AI & Data Science"
ATS0056,EDA,Data Science,Optional,4,No,Exploratory Data Analysis,"IT, AI & Data Science"
ATS0057,Statistics,Data Science,Mandatory,10,Yes,Statistical Analysis,"IT, AI & Data Science"
ATS0058,Statistics,Data Science,Important,8,No,Statistical Analysis,"IT, AI & Data Science"
ATS0059,Statistics,Data Science,Preferred,6,No,Statistical Analysis,"IT, AI & Data Science"
ATS0060,Statistics,Data Science,Optional,4,No,Statistical Analysis,"IT, AI & Data Science"
ATS0061,Feature Engineering,Data Science,Mandatory,10,Yes,Feature Creation,"IT, AI & Data Science"
ATS0062,Feature Engineering,Data Science,Important,8,No,Feature Creation,"IT, AI & Data Science"
ATS0063,Feature Engineering,Data Science,Preferred,6,No,Feature Creation,"IT, AI & Data Science"
ATS0064,Feature Engineering,Data Science,Optional,4,No,Feature Creation,"IT, AI & Data Science"
ATS0065,Data Visualization,Data Science,Mandatory,10,Yes,Visualization,"IT, AI & Data Science"
ATS0066,Data Visualization,Data Science,Important,8,No,Visualization,"IT, AI & Data Science"
ATS0067,Data Visualization,Data Science,Preferred,6,No,Visualization,"IT, AI & Data Science"
ATS0068,Data Visualization,Data Science,Optional,4,No,Visualization,"IT, AI & Data Science"
ATS0069,Predictive Modeling,Data Science,Mandatory,10,Yes,Prediction Models,"IT, AI & Data Science"
ATS0070,Predictive Modeling,Data Science,Important,8,No,Prediction Models,"IT, AI & Data Science"
ATS0071,Predictive Modeling,Data Science,Preferred,6,No,Prediction Models,"IT, AI & Data Science"
ATS0072,Predictive Modeling,Data Science,Optional,4,No,Prediction Models,"IT, AI & Data Science"
ATS0073,TensorFlow,AI & NLP,Mandatory,10,Yes,TF,"IT, AI & Data Science"
ATS0074,TensorFlow,AI & NLP,Important,8,No,TF,"IT, AI & Data Science"
ATS0075,TensorFlow,AI & NLP,Preferred,6,No,TF,"IT, AI & Data Science"
ATS0076,TensorFlow,AI & NLP,Optional,4,No,TF,"IT, AI & Data Science"
ATS0077,PyTorch,AI & NLP,Mandatory,10,Yes,Torch,"IT, AI & Data Science"
ATS0078,PyTorch,AI & NLP,Important,8,No,Torch,"IT, AI & Data Science"
ATS0079,PyTorch,AI & NLP,Preferred,6,No,Torch,"IT, AI & Data Science"
ATS0080,PyTorch,AI & NLP,Optional,4,No,Torch,"IT, AI & Data Science"
ATS0081,Scikit-learn,AI & NLP,Mandatory,10,Yes,sklearn,"IT, AI & Data Science"
ATS0082,Scikit-learn,AI & NLP,Important,8,No,sklearn,"IT, AI & Data Science"
ATS0083,Scikit-learn,AI & NLP,Preferred,6,No,sklearn,"IT, AI & Data Science"
ATS0084,Scikit-learn,AI & NLP,Optional,4,No,sklearn,"IT, AI & Data Science"
ATS0085,spaCy,AI & NLP,Mandatory,10,Yes,Spacy NLP,"IT, AI & Data Science"
ATS0086,spaCy,AI & NLP,Important,8,No,Spacy NLP,"IT, AI & Data Science"
ATS0087,spaCy,AI & NLP,Preferred,6,No,Spacy NLP,"IT, AI & Data Science"
ATS0088,spaCy,AI & NLP,Optional,4,No,Spacy NLP,"IT, AI & Data Science"
ATS0089,NLTK,AI & NLP,Mandatory,10,Yes,Natural Language Toolkit,"IT, AI & Data Science"
ATS0090,NLTK,AI & NLP,Important,8,No,Natural Language Toolkit,"IT, AI & Data Science"
ATS0091,NLTK,AI & NLP,Preferred,6,No,Natural Language Toolkit,"IT, AI & Data Science"
ATS0092,NLTK,AI & NLP,Optional,4,No,Natural Language Toolkit,"IT, AI & Data Science"
ATS0093,Transformers,AI & NLP,Mandatory,10,Yes,HF Transformers,"IT, AI & Data Science"
ATS0094,Transformers,AI & NLP,Important,8,No,HF Transformers,"IT, AI & Data Science"
ATS0095,Transformers,AI & NLP,Preferred,6,No,HF Transformers,"IT, AI & Data Science"
